                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 3.4182,                 3.2058,                 2.0882,                      0,                      0,                      0,                      0,                 6.4766,                 6.1856,                 3.8133,              0.0011366,              0.0011366,              0.0011366
                     65,                 3.2937,                 2.7366,                   1.89,                      0,                      0,                      0,                      0,                 6.4766,                 6.1856,                 3.8133,              0.0011319,              0.0011319,              0.0011319
                     66,                 3.7206,                 3.1883,                 2.0067,                      0,                      0,                      0,                      0,                 6.3273,                 5.9107,                 3.6518,              0.0011272,              0.0011272,              0.0011272
                     67,                 3.0791,                 2.7578,                 1.8398,                      0,                      0,                      0,                      0,                 6.3273,                 5.9107,                 3.6518,              0.0011225,              0.0011225,              0.0011225
                     68,                 3.4876,                 2.5842,                 1.8174,                      0,                      0,                      0,                      0,                 6.3273,                 5.9107,                 3.6518,              0.0011178,              0.0011178,              0.0011178
                     69,                 3.3571,                 3.2112,                 2.1775,                      0,                      0,                      0,                      0,                 6.3875,                 6.1817,                 3.7191,               0.001113,               0.001113,               0.001113
                     70,                 3.0146,                 2.7543,                 1.9343,                      0,                      0,                      0,                      0,                 6.3875,                 6.1817,                 3.7191,              0.0011083,              0.0011083,              0.0011083
                     71,                 3.0616,                 3.1548,                 1.7792,                      0,                      0,                      0,                      0,                 5.8494,                 5.6059,                 3.3772,              0.0011036,              0.0011036,              0.0011036
                     72,                 2.8037,                 2.7053,                 2.0004,                      0,                      0,                      0,                      0,                 5.8494,                 5.6059,                 3.3772,              0.0010989,              0.0010989,              0.0010989
                     73,                 2.8795,                 2.6505,                 1.6873,                      0,                      0,                      0,                      0,                 5.8494,                 5.6059,                 3.3772,              0.0010942,              0.0010942,              0.0010942
                     74,                 2.6392,                 3.2614,                 1.8494,                0.00128,                0.06667,                0.03251,                0.01927,                 5.1867,                 4.6159,                 3.0152,              0.0010895,              0.0010895,              0.0010895
                     75,                 2.8771,                 2.5588,                 1.9012,                0.00128,                0.06667,                0.03251,                0.01927,                 5.1867,                 4.6159,                 3.0152,              0.0010848,              0.0010848,              0.0010848
                     76,                  2.706,                  2.742,                 1.8651,                0.05283,                0.13333,                0.04326,                 0.0225,                 4.7797,                 3.8807,                 2.7982,                0.00108,                0.00108,                0.00108
                     77,                 2.7687,                  2.578,                 1.6496,                0.05283,                0.13333,                0.04326,                 0.0225,                 4.7797,                 3.8807,                 2.7982,              0.0010753,              0.0010753,              0.0010753
                     78,                 2.7682,                 2.4623,                 1.6956,                0.05283,                0.13333,                0.04326,                 0.0225,                 4.7797,                 3.8807,                 2.7982,              0.0010706,              0.0010706,              0.0010706
                     79,                 2.8374,                 2.3937,                 1.7157,                0.08753,                0.03333,                0.04204,                0.02003,                 4.8829,                 3.8283,                 2.7538,              0.0010659,              0.0010659,              0.0010659
                     80,                 2.8602,                 2.3343,                 1.6771,                0.08753,                0.03333,                0.04204,                0.02003,                 4.8829,                 3.8283,                 2.7538,              0.0010612,              0.0010612,              0.0010612
                     81,                 2.6836,                 2.4726,                 1.6369,                0.11438,                0.03333,                 0.0354,                0.01423,                 4.9214,                 3.9125,                  2.698,              0.0010565,              0.0010565,              0.0010565
                     82,                 2.3499,                 2.4471,                 1.8673,                0.11438,                0.03333,                 0.0354,                0.01423,                 4.9214,                 3.9125,                  2.698,              0.0010517,              0.0010517,              0.0010517
                     83,                 2.4531,                 2.3832,                 1.6456,                0.11438,                0.03333,                 0.0354,                0.01423,                 4.9214,                 3.9125,                  2.698,               0.001047,               0.001047,               0.001047
                     84,                 2.7261,                 2.3546,                 1.7689,                0.12729,                0.13195,                 0.0648,                0.02546,                 4.1136,                 3.6568,                 2.4036,              0.0010423,              0.0010423,              0.0010423
                     85,                 2.7965,                 2.4144,                 1.6712,                0.12729,                0.13195,                 0.0648,                0.02546,                 4.1136,                 3.6568,                 2.4036,              0.0010376,              0.0010376,              0.0010376
                     86,                 2.8752,                  2.739,                 1.6128,                0.24811,                0.28456,                0.16858,                0.06246,                  3.213,                 3.2817,                 2.1457,              0.0010329,              0.0010329,              0.0010329
                     87,                 2.5681,                 2.6883,                 1.8804,                0.24811,                0.28456,                0.16858,                0.06246,                  3.213,                 3.2817,                 2.1457,              0.0010282,              0.0010282,              0.0010282
                     88,                 2.6332,                 2.2173,                 1.6159,                0.24811,                0.28456,                0.16858,                0.06246,                  3.213,                 3.2817,                 2.1457,              0.0010234,              0.0010234,              0.0010234
                     89,                 2.5798,                 2.2113,                 1.5667,                0.37855,                0.32587,                0.30798,                0.10845,                 2.6077,                 3.0239,                 1.9457,              0.0010187,              0.0010187,              0.0010187
                     90,                 2.5757,                 2.3693,                 1.6351,                0.37855,                0.32587,                0.30798,                0.10845,                 2.6077,                 3.0239,                 1.9457,               0.001014,               0.001014,               0.001014
                     91,                 2.6017,                 2.5722,                  1.708,                0.39515,                 0.3649,                0.35509,                0.14112,                 2.4541,                 3.0504,                 1.8598,              0.0010093,              0.0010093,              0.0010093
                     92,                 2.3585,                 2.1764,                 1.4486,                0.39515,                 0.3649,                0.35509,                0.14112,                 2.4541,                 3.0504,                 1.8598,              0.0010046,              0.0010046,              0.0010046
                     93,                 2.6962,                 2.2896,                 1.6018,                0.39515,                 0.3649,                0.35509,                0.14112,                 2.4541,                 3.0504,                 1.8598,             0.00099987,             0.00099987,             0.00099987
                     94,                  2.486,                 2.7873,                 1.6629,                0.40297,                0.41413,                 0.3648,                0.14956,                 2.4366,                 2.9461,                 1.8298,             0.00099516,             0.00099516,             0.00099516
                     95,                 2.6832,                 2.4207,                 1.9609,                0.40297,                0.41413,                 0.3648,                0.14956,                 2.4366,                 2.9461,                 1.8298,             0.00099044,             0.00099044,             0.00099044
                     96,                 2.6067,                 2.4543,                  1.764,                0.40386,                0.32218,                0.35469,                0.16661,                 2.4415,                 2.7583,                 1.8332,             0.00098572,             0.00098572,             0.00098572
                     97,                 2.4796,                 2.2315,                  1.776,                0.40386,                0.32218,                0.35469,                0.16661,                 2.4415,                 2.7583,                 1.8332,             0.00098101,             0.00098101,             0.00098101
                     98,                  2.343,                 2.1557,                 1.5037,                0.40386,                0.32218,                0.35469,                0.16661,                 2.4415,                 2.7583,                 1.8332,             0.00097629,             0.00097629,             0.00097629
                     99,                 2.4296,                 2.1431,                  1.564,                0.70759,                 0.3289,                0.43878,                 0.2096,                 2.3401,                 2.6398,                 1.7958,             0.00097158,             0.00097158,             0.00097158
                    100,                 2.5145,                 2.3254,                 1.4404,                0.70759,                 0.3289,                0.43878,                 0.2096,                 2.3401,                 2.6398,                 1.7958,             0.00096686,             0.00096686,             0.00096686
                    101,                 2.3843,                 2.1092,                 1.6426,                0.66667,                0.26633,                0.46638,                0.22586,                 2.3608,                 2.6447,                 1.8493,             0.00096215,             0.00096215,             0.00096215
                    102,                 2.2907,                 2.2246,                 1.6512,                0.66667,                0.26633,                0.46638,                0.22586,                 2.3608,                 2.6447,                 1.8493,             0.00095743,             0.00095743,             0.00095743
                    103,                 2.6866,                 2.3546,                 1.5325,                0.66667,                0.26633,                0.46638,                0.22586,                 2.3608,                 2.6447,                 1.8493,             0.00095271,             0.00095271,             0.00095271
                    104,                 2.3115,                 2.1683,                 1.5423,                0.83814,                0.34552,                0.56702,                0.25114,                 2.2866,                 2.4092,                 1.8005,               0.000948,               0.000948,               0.000948
                    105,                 2.2622,                 1.9975,                 1.3895,                0.83814,                0.34552,                0.56702,                0.25114,                 2.2866,                 2.4092,                 1.8005,             0.00094328,             0.00094328,             0.00094328
                    106,                 2.4319,                 2.2121,                 1.4311,                0.81286,                0.36667,                 0.5709,                0.27387,                 2.2143,                 2.1944,                 1.7367,             0.00093857,             0.00093857,             0.00093857
                    107,                 2.2988,                  2.529,                 1.3989,                0.81286,                0.36667,                 0.5709,                0.27387,                 2.2143,                 2.1944,                 1.7367,             0.00093385,             0.00093385,             0.00093385
                    108,                 2.5312,                 2.2557,                 1.7814,                0.81286,                0.36667,                 0.5709,                0.27387,                 2.2143,                 2.1944,                 1.7367,             0.00092914,             0.00092914,             0.00092914
                    109,                 2.6294,                 2.1719,                  1.366,                0.44843,                0.65682,                0.54088,                0.21141,                 2.3022,                 2.2437,                 1.7913,             0.00092442,             0.00092442,             0.00092442
                    110,                 2.4345,                 2.4676,                 1.8527,                0.44843,                0.65682,                0.54088,                0.21141,                 2.3022,                 2.2437,                 1.7913,              0.0009197,              0.0009197,              0.0009197
                    111,                 2.2591,                 2.0805,                  1.504,                0.43195,                    0.6,                0.54419,                0.22612,                 2.2414,                 2.2258,                  1.746,             0.00091499,             0.00091499,             0.00091499
                    112,                 2.1631,                 2.1577,                 1.4187,                0.43195,                    0.6,                0.54419,                0.22612,                 2.2414,                 2.2258,                  1.746,             0.00091027,             0.00091027,             0.00091027
                    113,                 2.1704,                 2.0626,                 1.3913,                0.43195,                    0.6,                0.54419,                0.22612,                 2.2414,                 2.2258,                  1.746,             0.00090556,             0.00090556,             0.00090556
                    114,                 2.2712,                 2.0982,                 1.3605,                0.46827,                0.63333,                0.58636,                0.26127,                 2.1109,                 2.1071,                 1.6655,             0.00090084,             0.00090084,             0.00090084
                    115,                 2.1568,                  2.162,                 1.5396,                0.46827,                0.63333,                0.58636,                0.26127,                 2.1109,                 2.1071,                 1.6655,             0.00089613,             0.00089613,             0.00089613
                    116,                 2.0931,                  1.961,                 1.4238,                0.43756,                0.73333,                0.60668,                0.31462,                 1.8933,                 1.9819,                 1.5303,             0.00089141,             0.00089141,             0.00089141
                    117,                 2.1393,                 2.1726,                 1.4356,                0.43756,                0.73333,                0.60668,                0.31462,                 1.8933,                 1.9819,                 1.5303,             0.00088669,             0.00088669,             0.00088669
                    118,                 2.1892,                 1.9706,                 1.4516,                0.43756,                0.73333,                0.60668,                0.31462,                 1.8933,                 1.9819,                 1.5303,             0.00088198,             0.00088198,             0.00088198
                    119,                 2.4707,                 1.9718,                  1.387,                0.35605,                0.71144,                0.61532,                0.31519,                 1.8752,                 2.0152,                 1.5102,             0.00087726,             0.00087726,             0.00087726
                    120,                 2.1123,                 2.1215,                 1.3491,                0.35605,                0.71144,                0.61532,                0.31519,                 1.8752,                 2.0152,                 1.5102,             0.00087255,             0.00087255,             0.00087255
                    121,                 2.0833,                 1.8405,                 1.3065,                0.33898,                0.80647,                0.65296,                0.27925,                 2.0736,                 2.1514,                 1.5817,             0.00086783,             0.00086783,             0.00086783
                    122,                 2.1977,                 2.0494,                 1.3407,                0.33898,                0.80647,                0.65296,                0.27925,                 2.0736,                 2.1514,                 1.5817,             0.00086312,             0.00086312,             0.00086312
                    123,                 2.1878,                 2.3461,                 1.6503,                0.33898,                0.80647,                0.65296,                0.27925,                 2.0736,                 2.1514,                 1.5817,              0.0008584,              0.0008584,              0.0008584
                    124,                 2.2602,                 2.0247,                 1.3145,                0.33402,                0.76667,                0.62328,                0.25233,                 2.1573,                  2.203,                 1.5869,             0.00085368,             0.00085368,             0.00085368
                    125,                 1.9494,                 1.8908,                 1.3646,                0.33402,                0.76667,                0.62328,                0.25233,                 2.1573,                  2.203,                 1.5869,             0.00084897,             0.00084897,             0.00084897
                    126,                 2.4952,                 2.4802,                 1.5234,                 0.4402,                 0.5941,                0.66042,                0.28049,                 2.1098,                 2.1844,                 1.5546,             0.00084425,             0.00084425,             0.00084425
                    127,                 1.9139,                 1.6693,                 1.2613,                 0.4402,                 0.5941,                0.66042,                0.28049,                 2.1098,                 2.1844,                 1.5546,             0.00083954,             0.00083954,             0.00083954
                    128,                 1.9792,                 1.7591,                  1.343,                 0.4402,                 0.5941,                0.66042,                0.28049,                 2.1098,                 2.1844,                 1.5546,             0.00083482,             0.00083482,             0.00083482
                    129,                  2.185,                 2.1132,                 1.5179,                0.56257,                0.58083,                0.69641,                  0.333,                 1.9218,                 2.1277,                 1.4933,             0.00083011,             0.00083011,             0.00083011
                    130,                 2.1539,                 2.6882,                  1.154,                0.56257,                0.58083,                0.69641,                  0.333,                 1.9218,                 2.1277,                 1.4933,             0.00082539,             0.00082539,             0.00082539
                    131,                  2.436,                 6.6295,                 1.4453,                0.57687,                    0.7,                  0.741,                 0.3621,                 1.9306,                 2.1419,                 1.4952,             0.00082067,             0.00082067,             0.00082067
                    132,                 2.0657,                 2.3447,                 1.4441,                0.57687,                    0.7,                  0.741,                 0.3621,                 1.9306,                 2.1419,                 1.4952,             0.00081596,             0.00081596,             0.00081596
                    133,                 2.0042,                 1.9108,                  1.378,                0.57687,                    0.7,                  0.741,                 0.3621,                 1.9306,                 2.1419,                 1.4952,             0.00081124,             0.00081124,             0.00081124
                    134,                 2.1627,                 2.0693,                 1.3771,                0.70771,                 0.8713,                0.83488,                0.43996,                 1.7687,                 1.9988,                 1.4517,             0.00080653,             0.00080653,             0.00080653
                    135,                  2.041,                 2.0207,                 1.3521,                0.70771,                 0.8713,                0.83488,                0.43996,                 1.7687,                 1.9988,                 1.4517,             0.00080181,             0.00080181,             0.00080181
                    136,                 1.8246,                 1.8759,                 1.3855,                0.67628,                0.90096,                0.82717,                0.38269,                  1.896,                 1.8393,                 1.4557,              0.0007971,              0.0007971,              0.0007971
                    137,                 2.1128,                 1.9327,                  1.334,                0.67628,                0.90096,                0.82717,                0.38269,                  1.896,                 1.8393,                 1.4557,             0.00079238,             0.00079238,             0.00079238
                    138,                 2.0693,                 1.9246,                 1.2722,                0.67628,                0.90096,                0.82717,                0.38269,                  1.896,                 1.8393,                 1.4557,             0.00078766,             0.00078766,             0.00078766
                    139,                 2.0242,                 1.7702,                 1.2587,                0.73189,                0.86169,                0.85304,                0.40511,                 1.9403,                  1.776,                 1.4673,             0.00078295,             0.00078295,             0.00078295
                    140,                 1.9681,                 1.7628,                 1.2458,                0.73189,                0.86169,                0.85304,                0.40511,                 1.9403,                  1.776,                 1.4673,             0.00077823,             0.00077823,             0.00077823
                    141,                 2.0026,                 1.9425,                 1.5017,                0.74057,                0.79598,                0.85555,                0.41805,                  1.888,                 1.7655,                  1.453,             0.00077352,             0.00077352,             0.00077352
                    142,                 1.9772,                 1.7836,                 1.2578,                0.74057,                0.79598,                0.85555,                0.41805,                  1.888,                 1.7655,                  1.453,              0.0007688,              0.0007688,              0.0007688
                    143,                 2.2809,                 1.9316,                 1.2887,                0.74057,                0.79598,                0.85555,                0.41805,                  1.888,                 1.7655,                  1.453,             0.00076409,             0.00076409,             0.00076409
                    144,                  2.339,                 2.0616,                 1.3522,                0.72008,                0.83084,                0.85145,                0.42938,                 1.9389,                 1.7904,                 1.4405,             0.00075937,             0.00075937,             0.00075937
                    145,                 1.9853,                 1.8635,                 1.4441,                0.72008,                0.83084,                0.85145,                0.42938,                 1.9389,                 1.7904,                 1.4405,             0.00075465,             0.00075465,             0.00075465
                    146,                 1.9913,                 1.6935,                  1.495,                0.68695,                0.92956,                0.84252,                0.40591,                 1.9212,                 1.8462,                  1.424,             0.00074994,             0.00074994,             0.00074994
                    147,                  1.962,                 2.3585,                 1.4151,                0.68695,                0.92956,                0.84252,                0.40591,                 1.9212,                 1.8462,                  1.424,             0.00074522,             0.00074522,             0.00074522
                    148,                 1.9417,                 1.8276,                 1.3994,                0.68695,                0.92956,                0.84252,                0.40591,                 1.9212,                 1.8462,                  1.424,             0.00074051,             0.00074051,             0.00074051
                    149,                  1.899,                 1.9723,                 1.2797,                0.61445,                0.93333,                0.84568,                0.36627,                 1.9311,                 1.9057,                 1.4168,             0.00073579,             0.00073579,             0.00073579
                    150,                 2.0887,                 1.9051,                 1.3419,                0.61445,                0.93333,                0.84568,                0.36627,                 1.9311,                 1.9057,                 1.4168,             0.00073108,             0.00073108,             0.00073108
                    151,                 1.8943,                 1.7042,                 1.3027,                0.61066,                0.93333,                0.83261,                0.36429,                 1.9173,                 1.8712,                  1.412,             0.00072636,             0.00072636,             0.00072636
                    152,                  1.702,                 1.5949,                 1.2994,                0.61066,                0.93333,                0.83261,                0.36429,                 1.9173,                 1.8712,                  1.412,             0.00072164,             0.00072164,             0.00072164
                    153,                 2.1945,                    1.8,                 1.7843,                0.61066,                0.93333,                0.83261,                0.36429,                 1.9173,                 1.8712,                  1.412,             0.00071693,             0.00071693,             0.00071693
                    154,                 1.8922,                  1.698,                 1.1817,                0.65234,                0.93333,                 0.8292,                0.41174,                    1.8,                 1.7044,                 1.3913,             0.00071221,             0.00071221,             0.00071221
                    155,                 1.8003,                 1.6916,                 1.1598,                0.65234,                0.93333,                 0.8292,                0.41174,                    1.8,                 1.7044,                 1.3913,              0.0007075,              0.0007075,              0.0007075
                    156,                  1.832,                 1.6806,                 1.2109,                0.73948,                    0.9,                0.83357,                0.41442,                 1.7446,                 1.6749,                 1.3823,             0.00070278,             0.00070278,             0.00070278
