timestamp, frame, x, y, z, qx, qy, qz, qw
20207.415669083, 000969, 0.11253772, -0.19785169, 0.09092524, 0.8552585, -0.18456398, 0.38448408, 0.29434824
20207.432338041, 000970, 0.11286186, -0.19997731, 0.091066934, 0.85374635, -0.18778874, 0.38496032, 0.29607078
20207.449007083, 000971, 0.11318784, -0.20205083, 0.09128775, 0.85223, -0.19115348, 0.3853293, 0.29780135
20207.465676208, 000972, 0.11337396, -0.20408595, 0.092125155, 0.85062647, -0.1946841, 0.38567075, 0.29965085
20207.482345333, 000973, 0.11357172, -0.20617372, 0.09266473, 0.8489384, -0.19809586, 0.3860068, 0.30176178
20207.499014416, 000974, 0.1136917, -0.2082885, 0.09316692, 0.84724355, -0.20130461, 0.38641357, 0.3038738
20207.515683375, 000975, 0.11368438, -0.21042424, 0.093723804, 0.8456212, -0.20411465, 0.38704485, 0.30570927
20207.532352458, 000976, 0.11353676, -0.21255885, 0.09436406, 0.84413564, -0.20649959, 0.38781646, 0.30723163
20207.549021541, 000977, 0.11326648, -0.21462725, 0.09511196, 0.84283894, -0.20870112, 0.38842097, 0.30853757
20207.565690625, 000978, 0.113318264, -0.21657163, 0.096540585, 0.8417386, -0.2108433, 0.38876736, 0.30964673
20207.582359625, 000979, 0.11327176, -0.218445, 0.09794267, 0.8406608, -0.21294284, 0.3891293, 0.3106817
20207.599028666, 000980, 0.11297569, -0.22030054, 0.09906513, 0.83957106, -0.21492855, 0.38968116, 0.311568
20207.61569775, 000981, 0.112565175, -0.22215107, 0.10013473, 0.8385663, -0.21672094, 0.39027625, 0.31228656
20207.632366833, 000982, 0.11207163, -0.22403213, 0.10119276, 0.83766496, -0.21827443, 0.39077798, 0.31299546
20207.649035958, 000983, 0.11151618, -0.22596234, 0.10224174, 0.8368453, -0.21961728, 0.3911509, 0.31378198
20207.665704916, 000984, 0.11096968, -0.22789079, 0.10335426, 0.83601975, -0.22082092, 0.39153844, 0.31465328
20207.682373958, 000985, 0.11047665, -0.22989438, 0.10440054, 0.8350438, -0.22211067, 0.3920021, 0.31575766
20207.699043083, 000986, 0.11001186, -0.23190214, 0.105444126, 0.8339967, -0.22338805, 0.39255193, 0.31693864
20207.715712166, 000987, 0.109547354, -0.23385672, 0.106522985, 0.8330014, -0.22464345, 0.39305907, 0.3180385
20207.732381125, 000988, 0.10910269, -0.2357387, 0.10763524, 0.8320253, -0.22596408, 0.39350212, 0.3191084
20207.74905025, 000989, 0.10870945, -0.23753871, 0.10879811, 0.83104634, -0.22734906, 0.3939935, 0.32006776
20207.765719333, 000990, 0.108476855, -0.23920974, 0.11018829, 0.83009124, -0.22883832, 0.39456093, 0.32078534
20207.782388375, 000991, 0.10825796, -0.2408083, 0.11155147, 0.82910854, -0.23028113, 0.3952457, 0.3214505
20207.7990575, 000992, 0.108099684, -0.2423079, 0.11294347, 0.8280976, -0.2316492, 0.396085, 0.32203963
20207.815726458, 000993, 0.10804428, -0.24368772, 0.11439424, 0.8270753, -0.23298527, 0.3970692, 0.32249078
20207.8323955, 000994, 0.108146936, -0.24497212, 0.11589202, 0.82593197, -0.23442638, 0.3982373, 0.3229359
20207.849064625, 000995, 0.10842554, -0.24619794, 0.11743222, 0.82457143, -0.23592517, 0.39971876, 0.32349038
20207.865733708, 000996, 0.10899141, -0.2472787, 0.11919293, 0.8231273, -0.23733532, 0.4013922, 0.32406405
20207.882402666, 000997, 0.109484985, -0.24826322, 0.1209289, 0.82168615, -0.2385759, 0.40324163, 0.32451427
20207.89907175, 000998, 0.10995294, -0.24908178, 0.12272772, 0.8203363, -0.23966499, 0.40518484, 0.32470635
20207.915740875, 000999, 0.110416844, -0.249712, 0.1246245, 0.8190867, -0.240659, 0.40719265, 0.32461408
20207.932409916, 001000, 0.11089631, -0.2501641, 0.12664525, 0.8179301, -0.2415756, 0.4092398, 0.32427508
20207.949079041, 001001, 0.11138592, -0.25044316, 0.12878694, 0.8168783, -0.24236341, 0.41132885, 0.32369474
20207.965748, 001002, 0.111744784, -0.25067818, 0.13139097, 0.81595385, -0.24312219, 0.41332665, 0.3229115
20207.982417, 001003, 0.11218311, -0.2506019, 0.13387483, 0.8151015, -0.24395074, 0.41519865, 0.32203665
20207.999086125, 001004, 0.11266216, -0.2502949, 0.13636145, 0.8143109, -0.24477902, 0.41712424, 0.32091793
20208.01575525, 001005, 0.1131905, -0.24980901, 0.13886523, 0.8134977, -0.24550167, 0.41930234, 0.31958696
20208.032424166, 001006, 0.11376589, -0.24914466, 0.14140108, 0.81270254, -0.24603334, 0.42178267, 0.31793305
20208.049093291, 001007, 0.11437831, -0.24830665, 0.14395905, 0.81191057, -0.24641575, 0.4244999, 0.3160383
20208.065762416, 001008, 0.11508083, -0.2474386, 0.14653848, 0.81104726, -0.2468406, 0.42732447, 0.3141111
20208.082431416, 001009, 0.11577008, -0.24633399, 0.149136, 0.81018335, -0.24728595, 0.43005762, 0.31225467
20208.099100583, 001010, 0.11645282, -0.24504906, 0.15176487, 0.80936676, -0.24770096, 0.4327187, 0.31036124
20208.1157695, 001011, 0.11713486, -0.24363825, 0.1544219, 0.8085659, -0.24789253, 0.43553466, 0.30835027
20208.132438625, 001012, 0.11778325, -0.2421151, 0.15709427, 0.8077967, -0.24775551, 0.43852174, 0.30623558
20208.149107666, 001013, 0.1183809, -0.24046254, 0.15978587, 0.8070849, -0.24737516, 0.4415758, 0.30402336
20208.165776833, 001014, 0.119347, -0.23887427, 0.1624738, 0.80649847, -0.2468296, 0.44456163, 0.30166253
20208.182445708, 001015, 0.11996128, -0.23698413, 0.16518684, 0.80598396, -0.24612664, 0.4476382, 0.29905114
20208.199114791, 001016, 0.12038799, -0.23492447, 0.16790582, 0.80557704, -0.24521713, 0.45071363, 0.2962622
20208.215783958, 001017, 0.12069501, -0.232749, 0.17062557, 0.80527943, -0.24417682, 0.4536501, 0.29343522
20208.232453, 001018, 0.1209408, -0.23048605, 0.17334452, 0.805018, -0.2431852, 0.45637769, 0.29073396
20208.249121958, 001019, 0.121168986, -0.22816426, 0.17604028, 0.8046514, -0.24228434, 0.45905438, 0.28827673
20208.265791, 001020, 0.1215315, -0.22587606, 0.17872256, 0.8042286, -0.24134508, 0.4618009, 0.28584743
20208.282460166, 001021, 0.12174593, -0.22344074, 0.181369, 0.8038996, -0.240201, 0.46455145, 0.28326803
20208.29912925, 001022, 0.12172981, -0.22077937, 0.18397182, 0.8036961, -0.23893093, 0.467243, 0.28047928
20208.315798291, 001023, 0.12158714, -0.21793985, 0.18653262, 0.8035638, -0.23763335, 0.46984342, 0.27760184
20208.33246725, 001024, 0.12134631, -0.21496136, 0.1890494, 0.8034728, -0.23632036, 0.47233343, 0.27474543
20208.349136375, 001025, 0.12100021, -0.21188135, 0.19150397, 0.8034185, -0.23487496, 0.474758, 0.27195087
20208.365805458, 001026, 0.12069071, -0.20873079, 0.19453245, 0.8034414, -0.2333006, 0.47699678, 0.2693079
20208.3824745, 001027, 0.120203026, -0.20553046, 0.19702989, 0.8034418, -0.23154035, 0.4792239, 0.26686075
20208.399143458, 001028, 0.11965745, -0.20231462, 0.1992585, 0.8033311, -0.22958346, 0.48160842, 0.2645825
20208.415812583, 001029, 0.1190596, -0.19908032, 0.20131737, 0.8031317, -0.22730745, 0.4842648, 0.2622943
20208.432481625, 001030, 0.1183556, -0.1957954, 0.20327222, 0.8029802, -0.22472316, 0.48703247, 0.25984907
20208.44915075, 001031, 0.11753826, -0.19246489, 0.2051472, 0.8029229, -0.22195745, 0.4896883, 0.25740045
20208.465819875, 001032, 0.116594195, -0.18906139, 0.20750669, 0.802858, -0.21931313, 0.4922204, 0.25502893
20208.482488833, 001033, 0.115711704, -0.18571012, 0.20944306, 0.8027722, -0.21671371, 0.4946084, 0.25289196
20208.499157916, 001034, 0.11492124, -0.18240821, 0.21117789, 0.8025833, -0.21432003, 0.49687913, 0.25107372
20208.515826958, 001035, 0.11426367, -0.17918359, 0.21276648, 0.8021883, -0.2122349, 0.4990725, 0.24975374
20208.532496041, 001036, 0.11367291, -0.17616013, 0.21410653, 0.8015303, -0.21041936, 0.5012903, 0.24895924
20208.549165041, 001037, 0.113235205, -0.17313991, 0.21545981, 0.8007107, -0.20889156, 0.5034616, 0.24850181
20208.565834041, 001038, 0.11290342, -0.17010248, 0.21682751, 0.79983073, -0.20753904, 0.50563204, 0.24806142
20208.58250325, 001039, 0.11263894, -0.16703811, 0.21818286, 0.79895943, -0.20636646, 0.5077575, 0.24750562
20208.599172333, 001040, 0.11244927, -0.16396943, 0.21949302, 0.79802686, -0.20536745, 0.50988346, 0.2469738
20208.615841375, 001041, 0.11230916, -0.16089456, 0.2207361, 0.79701465, -0.2044435, 0.51206666, 0.24649182
20208.632510333, 001042, 0.11213883, -0.1577701, 0.2219621, 0.79606706, -0.20346747, 0.51425016, 0.24581492
20208.649179458, 001043, 0.111891106, -0.15477073, 0.22316183, 0.7954058, -0.20236622, 0.516284, 0.24459814
20208.665848541, 001044, 0.11152344, -0.15161577, 0.22447324, 0.79505754, -0.20114365, 0.5181102, 0.24287109
20208.682517625, 001045, 0.11108102, -0.14825363, 0.22587694, 0.79488873, -0.19989903, 0.51976573, 0.24090622
20208.699186583, 001046, 0.110645376, -0.14482424, 0.22728121, 0.79476553, -0.19864555, 0.5213777, 0.23885767
20208.715855666, 001047, 0.11027242, -0.14139669, 0.2286467, 0.7945648, -0.19739556, 0.52308273, 0.23682529
20208.732524708, 001048, 0.10994664, -0.13798104, 0.22997355, 0.79424095, -0.19594935, 0.52504224, 0.23476745
20208.749193833, 001049, 0.109576866, -0.13454476, 0.23130056, 0.794014, -0.19409367, 0.5271484, 0.2323443
20208.765862875, 001050, 0.10900057, -0.13102339, 0.23273544, 0.7940345, -0.19188672, 0.52916104, 0.22951493
20208.782531875, 001051, 0.108469635, -0.12748364, 0.23409766, 0.7942164, -0.1898376, 0.5308556, 0.22665904
20208.799200916, 001052, 0.108020544, -0.123939596, 0.23540208, 0.794356, -0.18821377, 0.5322552, 0.22422867
20208.815870041, 001053, 0.10767318, -0.120417625, 0.23665679, 0.79434943, -0.18691455, 0.53354764, 0.22225833
20208.832539166, 001054, 0.107396595, -0.116954744, 0.23787466, 0.79421973, -0.1857245, 0.53485966, 0.22055931
20208.849208, 001055, 0.10718646, -0.11357017, 0.23903498, 0.7939508, -0.18454467, 0.5362825, 0.21905816
20208.865877166, 001056, 0.10709625, -0.1103844, 0.23976007, 0.79350907, -0.18324085, 0.5379062, 0.21776804
20208.88254625, 001057, 0.106998354, -0.10716505, 0.24063528, 0.7929393, -0.18187387, 0.5397016, 0.21654408
20208.899215375, 001058, 0.10687766, -0.103931725, 0.24153641, 0.79238, -0.18053573, 0.5414795, 0.21526884
20208.915884458, 001059, 0.10671452, -0.10069114, 0.24243811, 0.79189026, -0.1792011, 0.54319304, 0.2138647
20208.932553416, 001060, 0.10649854, -0.097446285, 0.24333894, 0.79149884, -0.17785415, 0.5448088, 0.21232225
20208.949222458, 001061, 0.10639177, -0.09419248, 0.24416775, 0.79129136, -0.17647193, 0.5462474, 0.21054551
20208.965891541, 001062, 0.106175505, -0.09089056, 0.24503085, 0.7912688, -0.1750592, 0.54753745, 0.2084479
20208.982560666, 001063, 0.105764076, -0.08754303, 0.24596915, 0.7913948, -0.17356281, 0.54876435, 0.2059798
20208.999229583, 001064, 0.10527399, -0.08419757, 0.24694103, 0.7915679, -0.17200436, 0.5500323, 0.20322216
20209.015898666, 001065, 0.1047753, -0.08090707, 0.24790233, 0.791695, -0.17044568, 0.551354, 0.20043966
20209.03256775, 001066, 0.10429717, -0.0776936, 0.2488427, 0.79178196, -0.16908598, 0.552557, 0.19791864
20209.049236875, 001067, 0.10386819, -0.07454105, 0.24980897, 0.79182917, -0.16809404, 0.55358934, 0.19567727
20209.065905958, 001068, 0.10375744, -0.07116287, 0.2506204, 0.7918024, -0.16737552, 0.5545049, 0.19380055
20209.082574916, 001069, 0.10358237, -0.06807486, 0.25155398, 0.7916498, -0.16685347, 0.5554908, 0.19204284
20209.099244, 001070, 0.10347588, -0.06516872, 0.25253308, 0.7913176, -0.16655971, 0.55659205, 0.19047178
20209.115913083, 001071, 0.10349234, -0.062375978, 0.25355035, 0.79077196, -0.16654655, 0.55783856, 0.18909788
20209.132582166, 001072, 0.103594325, -0.0596369, 0.2546043, 0.7900576, -0.16675073, 0.5592032, 0.18786944
20209.149251083, 001073, 0.10368368, -0.056914594, 0.25572237, 0.78929937, -0.16704635, 0.56062245, 0.18655913
