epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,361.881,3.64864,2.84597,2.11966,0.16006,0.2,0.11066,0.0406,3.76667,3.15325,2.41559,0.00105646,0.00105646,0.00105646
81,366.046,3.60809,3.45115,2.29299,0.16006,0.2,0.11066,0.0406,3.76667,3.15325,2.41559,0.00105174,0.00105174,0.00105174
82,370.382,3.26417,2.88601,2.37352,0.47703,0.23333,0.13214,0.04992,3.67297,3.04786,2.38497,0.00104703,0.00104703,0.00104703
83,374.728,3.36009,2.81401,1.99724,0.47703,0.23333,0.13214,0.04992,3.67297,3.04786,2.38497,0.00104231,0.00104231,0.00104231
84,379.011,3.27923,2.8583,2.12815,0.47703,0.23333,0.13214,0.04992,3.67297,3.04786,2.38497,0.0010376,0.0010376,0.0010376
85,383.095,3.19795,2.74112,2.12203,0.47703,0.23333,0.13214,0.04992,3.67297,3.04786,2.38497,0.00103288,0.00103288,0.00103288
86,387.493,3.35697,2.89683,2.07009,0.7128,0.13333,0.1859,0.08436,3.27724,2.75698,2.31663,0.00102817,0.00102817,0.00102817
87,391.741,3.3111,2.72305,1.94845,0.7128,0.13333,0.1859,0.08436,3.27724,2.75698,2.31663,0.00102345,0.00102345,0.00102345
88,396.096,3.20359,2.56095,1.85166,0.7128,0.13333,0.1859,0.08436,3.27724,2.75698,2.31663,0.00101873,0.00101873,0.00101873
89,400.537,3.18387,2.5936,2.0295,0.7128,0.13333,0.1859,0.08436,3.27724,2.75698,2.31663,0.00101402,0.00101402,0.00101402
90,404.661,3.11976,2.67994,2.04812,0.23068,0.26667,0.25691,0.10167,3.04409,2.68357,2.22813,0.0010093,0.0010093,0.0010093
91,408.961,2.93391,2.4056,2.01019,0.23068,0.26667,0.25691,0.10167,3.04409,2.68357,2.22813,0.00100459,0.00100459,0.00100459
92,413.084,2.86952,2.6403,2.09535,0.23068,0.26667,0.25691,0.10167,3.04409,2.68357,2.22813,0.000999871,0.000999871,0.000999871
93,418.023,2.98418,3.37366,2.13569,0.23068,0.26667,0.25691,0.10167,3.04409,2.68357,2.22813,0.000995156,0.000995156,0.000995156
94,421.992,2.97625,2.44847,2.03737,0.22589,0.6,0.38041,0.12193,2.9372,2.68084,2.17424,0.00099044,0.00099044,0.00099044
95,427.31,2.94976,2.59634,2.01567,0.22589,0.6,0.38041,0.12193,2.9372,2.68084,2.17424,0.000985724,0.000985724,0.000985724
96,431.576,3.07148,2.68999,1.8985,0.22589,0.6,0.38041,0.12193,2.9372,2.68084,2.17424,0.000981008,0.000981008,0.000981008
97,435.669,3.18332,3.1392,2.00309,0.22589,0.6,0.38041,0.12193,2.9372,2.68084,2.17424,0.000976293,0.000976293,0.000976293
98,439.689,2.98951,2.62364,1.95361,0.27061,0.50298,0.4081,0.12284,2.81373,2.60578,2.11496,0.000971577,0.000971577,0.000971577
99,443.739,3.17944,2.7787,1.81124,0.27061,0.50298,0.4081,0.12284,2.81373,2.60578,2.11496,0.000966861,0.000966861,0.000966861
100,447.64,2.84047,2.59045,1.9811,0.27061,0.50298,0.4081,0.12284,2.81373,2.60578,2.11496,0.000962146,0.000962146,0.000962146
101,451.468,2.92816,2.59689,1.88249,0.27061,0.50298,0.4081,0.12284,2.81373,2.60578,2.11496,0.00095743,0.00095743,0.00095743
